WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (19401501.8782705 -4249752.45757929)",105300,Kauri,56.10398784,56.10398784,1716506.55295,6056388.25925,-35.62944367,174.28665672,19401501.8783,-4249752.45758
"POINT (19016191.3607628 -5480467.13261609)",342000,Fairlie,4.95412588,4.95412588,1425932.5987,5115053.0057,-44.09701087,170.82535345,19016191.3608,-5480467.13262
"POINT (19233286.2438652 -4096875.60083333)",100100,North Cape,826.78512205,826.78512205,1579396.08115,6181775.2488,-34.50545276,172.77554997,19233286.2439,-4096875.60083
"POINT (19273571.9723996 -4152509.39494422)",100200,Rangaunu Harbour,272.10405305,272.10405305,1612554.6505,6136232.76615,-34.91627744,173.13744282,19273571.9724,-4152509.39494
"POINT (19387207.6413187 -4193614.39063446)",100300,Inlets Far North District,0,625.97275382,1705412.87215,6102111.0264,-35.21850133,174.15824941,19387207.6413,-4193614.39063
"POINT (19300432.8691734 -4163239.48336674)",100400,Karikari Peninsula,174.18081591,174.18081591,1634562.57445,6127415.05495,-34.99527816,173.37873836,19300432.8692,-4163239.48337
"POINT (19282606.8005903 -4180628.98483444)",100500,Tangonge,177.20434269,177.20434269,1619918.06695,6113278.3712,-35.12314727,173.21860407,19282606.8006,-4180628.98483
"POINT (19276185.3704233 -4185580.0478401)",100600,Ahipara,4.5292775,4.5292775,1614655.61185,6109255.02585,-35.15951697,173.16091938,19276185.3704,-4185580.04784
"POINT (19287676.1738965 -4178000.84296537)",100700,Kaitaia East,5.26631029,5.26631029,1624073.02855,6115410.04495,-35.10383477,173.26414302,19287676.1739,-4178000.84297
"POINT (19288013.5773449 -4180443.13092389)",100800,Kaitaia West,3.21185052,3.21185052,1624343.92035,6113419.01755,-35.1217817,173.26717397,19288013.5773,-4180443.13092
"POINT (19292917.0268345 -4181269.05137619)",100900,Rangitihi,84.66042662,84.66042662,1628355.363,6112734.3932,-35.12785001,173.3112224,19292917.0268,-4181269.05138
"POINT (19309620.8709359 -4168409.78043645)",101000,Oruru-Parapara,103.28072757,103.28072757,1642075.24825,6123164.91395,-35.03331749,173.46127559,19309620.8709,-4168409.78044
"POINT (19314793.7127725 -4163436.34142792)",101100,Taumarumaru,10.2297234,10.2297234,1646334.53585,6127202.16855,-34.99672682,173.50774402,19314793.7128,-4163436.34143
"POINT (19299728.1148479 -4189682.76547826)",101200,Herekino-Takahue,303.69091784,303.69091784,1633904.28605,6105862.4712,-35.18964254,173.37240745,19299728.1148,-4189682.76548
"POINT (19308158.3920583 -4180755.58640736)",101300,Peria,199.69058441,199.69058441,1640831.64315,6113105.20105,-35.12407747,173.44813792,19308158.3921,-4180755.58641
